Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,CTH,Basic notification,Sr no,CETH,Excise notification,Sr no,Mrp Sr no,Amount,SAD notification,Sr no,Exim Code,Scheme Notn,Scheme SrNo,Generic Description,BRAND,Model,END USE,EduCessNotnNo,EduCessNotnSrNo ,SHEduCessNotnNo,SHEduCessNotnSrNo,CEXEduCessNotnNo,CEXEduCessNotnSrNo ,Country of origin,RSP Notf,Sr. no.,Sapta Notif No,SAPTA Sr No,Manufacturer,Address,MRP Status,Abatement Rate,IGST Notn No,IGST SrNo,GST CCESS Notn No,GST CCESS SrNo,IGST Exemp Notn Type,IGST Exemp Notn No,IGST Exemp SrNo,GST CCESS Exemp NotnType,GST CCESS Exemp Notn No,GST CCESS Exemp SrNo,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SWS Notn No,SWS Notn SrNo,Duty Exemption Type,Regn No.,Regn Date,Regn Port,Item SNo. In Lic.,Product Material Code,Type Of Item,Source Country,Transit Country,SQC_Qty,Consigner Name,Consigner Address,Consigner City,Consigner Country,SIMS Category,SIMS Code,Custom Health Cess Notn No,Custom Health Cess Notn SrNo,COO_No ,COO_Date of Issue ,COO_Issuing Country ,COO_Origin Criteria ,COO_Origin Criteria remarks ,COO_Accumulation/Cumulation Status ,FOC Item,AIDC Levy Notification No ,AIDC Levy Notification Sr.No. ,AIDC Exemption Notification No. ,AIDC Exemption Notification Sr.No. ,AIDCNotn_Excise,ADICNotnSr_Excise,Previous BE No.,Previous BE Date,Previous BE IGM No.,Previous BE IGM Date,Previous BE Currency,Previous BE Unit Price,Previous BE Custom House,Aggregate Duty Notification No.,Aggregate Duty Notification Sr.No.,COO_Tariff Shift,COO_Retroactive Issuance Status,COO_Direct Consignment Status,GST_Comp_Cess_SalePrice_INR,CVD_Notn,CVD_SLNo,CVD_Rate,CVD_Calc,CVD_ItemSLNo,CVD_SuppSLNo,COO_ItemSrNoCert
48640006,11-02-2026,FOB,83H867505HVU5 ROOFLINER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),4,PCS,INR,4224.7625,87089900,,,NOEXCISE,"16,899.05",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H867505HVU5,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,12.8,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H863825 HOOD SOUND INSULATION (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),50,PCS,INR,416.9722,87089900,,,NOEXCISE,"20,848.61",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H863825,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,12,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,3WA505235AF SUBFRAME (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),4,PCS,INR,14701.64,87085000,,,NOEXCISE,"58,806.56",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,3WA505235AF,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,84,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H807203 STRUT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),32,PCS,INR,527.894375,87089900,,,NOEXCISE,"16,892.62",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H807203,GNX200,,,,,,,PL,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,46.4,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83K8194039B9 PLENUM CHAMBER COVER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),70,PCS,INR,293.3434286,87082900,,,NOEXCISE,"20,534.04",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83K8194039B9,GNX200,,,,,,,HU,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,70.35,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H805594 PLASTIC FRONT-END CARRIER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),12,PCS,INR,1379.285833,87082900,,,NOEXCISE,"16,551.43",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H805594,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,43.2,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H845099F WINDSHIELD (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,PCS,INR,3862.84,87082200,,,NOEXCISE,"139,062.24",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H845099F,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,439.416,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H845099G WINDSHIELD (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,PCS,INR,8698.806111,87082200,,,NOEXCISE,"313,157.02",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H845099G,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,446.4,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H845501D REAR WINDOW (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),50,PCS,INR,1872.5166,87082200,,,NOEXCISE,"93,625.83",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H845501D,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,237.8,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H863305AESD SIDE TRIM PANEL (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),4,PCS,INR,525.8425,87089900,,,NOEXCISE,"2,103.37",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H863305AESD,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,1.3,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H863306AESD SIDE TRIM PANEL (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),4,PCS,INR,525.8425,87089900,,,NOEXCISE,"2,103.37",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H863306AESD,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,1.3,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,5QS512011BS REAR SHOCK ABSORBER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),48,PCS,INR,1555.487917,87088000,,,NOEXCISE,"74,663.42",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,5QS512011BS,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,113.04,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640007,11-02-2026,FOB,3Q0407272DE HALF SHAFT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),64,PCS,INR,6838.487969,87089400,,,NOEXCISE,"437,663.23",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,3Q0407272DE,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,447.04,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640007,11-02-2026,FOB,4M0827933BS9R REAR SPOILER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),18,PCS,INR,4338.615556,87089900,,,NOEXCISE,"78,095.08",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,4M0827933BS9R,GNX200,,,,,,,HU,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,44.82,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640014,11-02-2026,FOB,4G0816803E AIR CONDITIONING COMPRESSOR (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,INR,6925.133333,84148019,,,NOEXCISE,"20,775.40",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,4G0816803E,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II401,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,3,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640014,11-02-2026,FOB,8B3129520 RAW AIR INDUCTION (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),4,PCS,INR,180.5925,87089900,,,NOEXCISE,722.37,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,8B3129520,GNX200,,,,,,,HU,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,1.34,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640014,11-02-2026,FOB,8B3133838 AIR CLEANER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),4,PCS,INR,873.7175,84213100,,,NOEXCISE,"3,494.87",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,8B3133838,GNX200,,,,,,,HU,,,,,,,N,,009/2025,II410,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,4,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
