Invoice Number,Invoice Date,Country of Origin,HS Code,Mat. NO.,Description,Default,Quantity,Weight per PC (kg),Unit Price (per batch),Price per PC,Total Price,Currency
59638762,06.02.2026,SK,830230,571837402L,WINDOW LIFT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),60,1.831,18.76,1 /PC,"1,125.60",EUR
59638762,06.02.2026,DE,853650,571959831WHS,Pushbutton for decklid,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),144,0.014,221.76,100 /PC,319.33,EUR
59638762,06.02.2026,DE,870899,57H122321G,Blind with guide,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),26,1.559,22.67,1 /PC,589.42,EUR
59638762,06.02.2026,CZ,870870,57H601169AZG6,Cap,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),128,0.444,872.56,100 /PC,"1,116.88",EUR
59638762,06.02.2026,DE,870829,57H827878F7C,REAR SPOILER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),12,3.721,53.74,1 /PC,644.88,EUR
59638762,06.02.2026,DE,870829,57H827878F9R,REAR SPOILER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),6,3.721,53.74,1 /PC,322.44,EUR
59638762,06.02.2026,CZ,401693,57H8396975AP,"Door seal, outer",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),111,0.356,275.05,100 /PC,305.31,EUR
59638762,06.02.2026,SK,870822,57H845297B041,SIDE WINDOW GLASS,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),44,1.517,19.60,1 /PC,862.40,EUR
59638762,06.02.2026,SK,870822,57H845298B041,SIDE WINDOW GLASS,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),44,1.517,19.60,1 /PC,862.40,EUR
59638762,06.02.2026,ES,870829,57H853215B6DH,"Lining, pillar d",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),45,0.562,14.52,1 /PC,653.40,EUR
59638762,06.02.2026,CZ,870829,57H854331A9B9,Trim for wheel arch,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),64,0.247,309.45,100 /PC,198.04,EUR
59638762,06.02.2026,CZ,870829,57H854332A9B9,Trim for wheel arch,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),32,0.247,309.45,100 /PC,99.02,EUR
59638762,06.02.2026,PL,870829,57H8548799B9,"COVER,DOOR",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),54,1.394,10.05,1 /PC,542.70,EUR
59638762,06.02.2026,PL,870829,57H8548809B9,"COVER,DOOR",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,1.394,10.05,1 /PC,361.80,EUR
59638762,06.02.2026,CZ,870899,57H858856B,1 set covers,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),9,0.922,828.31,100 /PC,74.55,EUR
59638762,06.02.2026,PL,870829,57H8634594PK,Cover for lock carrier,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),24,1.055,365.55,100 /PC,87.73,EUR
59638762,06.02.2026,CZ,870829,57H863735A4PK,Scuff plate - sill panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),60,0.409,175.98,100 /PC,105.59,EUR
59638762,06.02.2026,CZ,870829,57H863736A4PK,Scuff plate - sill panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),60,0.410,175.98,100 /PC,105.59,EUR
59638762,06.02.2026,CZ,870829,57H864051A4PK,Glove box,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),72,1.011,863.04,100 /PC,621.39,EUR
59638762,06.02.2026,CZ,870829,57H867023ELFHI,Door panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),4,1.900,93.12,1 /PC,372.48,EUR
59638762,06.02.2026,CZ,870829,57H867023FBFIC,Door panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,1.900,80.02,1 /PC,"2,400.60",EUR
59638762,06.02.2026,CZ,870829,57H867024CJFHI,Door panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),4,3.330,93.12,1 /PC,372.48,EUR
59638762,06.02.2026,CZ,870829,57H867024CQFIC,Door panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,3.330,80.02,1 /PC,"2,400.60",EUR
59638762,06.02.2026,CZ,870829,57H867234GRM5,"Lining, pillar a",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),98,0.401,963.15,100 /PC,943.89,EUR
59638762,06.02.2026,CZ,870829,57H8676054PK,Trim panel for hatch gate,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,0.934,576.39,100 /PC,172.92,EUR
59638762,06.02.2026,ES,854430,57H972691A,Electric cable,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),60,0.062,355.06,100 /PC,213.04,EUR
59638762,06.02.2026,CZ,870829,57J8630464PK,Cover,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),270,0.281,306.39,100 /PC,827.25,EUR
59638762,06.02.2026,CZ,870829,57J867013ALFIC,Door panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),20,1.900,67.38,1 /PC,"1,347.60",EUR
59638762,06.02.2026,CZ,870829,57J867014CQFIC,Door panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),20,1.900,69.75,1 /PC,"1,395.00",EUR
59638762,06.02.2026,SK,870829,5LG8676154PK,tie-down hook,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),144,0.072,876.26,1000 /PC,126.18,EUR
59638762,06.02.2026,CN,853650,5NA959769IGI,Memory switch for seat and,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),54,0.025,223.95,100 /PC,120.93,EUR
59638762,06.02.2026,HU,854800,5Q0035570,Frequency filter,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),50,0.123,301.92,100 /PC,150.96,EUR
59638762,06.02.2026,TR,870899,5Q0121070BT,water tube,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),90,0.059,156.76,100 /PC,141.08,EUR
59638762,06.02.2026,DE,870829,5QF825902C,underrun bar,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),33,4.954,32.35,1 /PC,"1,067.55",EUR
59638762,06.02.2026,DE,940199,5QF888582,mounting,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),24,0.374,309.60,100 /PC,74.30,EUR
59638762,06.02.2026,DE,870880,5QS505311A,Track control arm,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),120,2.656,19.03,1 /PC,"2,283.60",EUR
59638762,06.02.2026,RO,903180,5QS512521A,Self-lev. sensor with linkage,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),42,0.187,394.00,100 /PC,165.48,EUR
59638762,06.02.2026,CZ,870829,5QS825635,Sound absorber for tunnel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),100,0.110,253.36,100 /PC,253.36,EUR
59638762,06.02.2026,PL,842489,5QS955448B,WASHER FLUID RESER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),56,0.584,764.38,100 /PC,428.05,EUR
59638762,06.02.2026,DE,870829,5QT721615,Heat reflective mat,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,0.046,238.90,100 /PC,71.67,EUR
59638762,06.02.2026,CZ,870829,5QT863353,Sound absorber for cross panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),64,0.277,438.74,100 /PC,280.79,EUR
59638762,06.02.2026,FR,870894,5R5419512F,Steering column,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),48,4.400,34.23,1 /PC,"1,643.04",EUR
59638762,06.02.2026,DE,841459,5WA121203T,electric fan with,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),45,4.854,91.02,1 /PC,"4,095.90",EUR
59638762,06.02.2026,RO,870899,5WA199262AN,Engine mounting,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),132,1.586,"1,086.89",100 /PC,"1,434.69",EUR
59638762,06.02.2026,BG,903180,5WA907527A,temperature sensor,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),84,0.009,226.77,100 /PC,190.49,EUR
59638762,06.02.2026,SK,401693,85H877459A,Gasket (adhesive),(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),170,0.390,705.03,100 /PC,"1,198.55",EUR
59638762,06.02.2026,CN,902590,89A955555B,"Sensor for air humidity,",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),110,0.019,663.08,100 /PC,729.39,EUR
59638762,06.02.2026,TR,870899,8K0805615A,towing eye,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),29,0.493,152.10,100 /PC,44.11,EUR
59638762,06.02.2026,IT,731815,N10585602,"Bolt, hex. hd. with shoulder",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),80,0.145,317.74,1000 /PC,25.42,EUR
59638762,06.02.2026,DE,731815,N10720201,"bolt, with polygon socket hd.",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),150,0.078,319.52,1000 /PC,47.93,EUR
59638762,06.02.2026,IT,731815,N10854801,double hex. hd. bolt,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),140,0.081,366.94,1000 /PC,51.37,EUR
59638762,06.02.2026,CN,731823,N91010401,pop-rivet,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"1,000",0.005,25.60,1000 /PC,25.60,EUR
59638762,06.02.2026,CZ,731815,N91108201,"bolt, with polygon socket hd.",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),640,0.022,89.48,1000 /PC,57.27,EUR
59638762,06.02.2026,IT,731815,N91203201,Flat head multi-point,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),13,0.013,62.09,1000 /PC,0.81,EUR
59638762,06.02.2026,TR,731815,N91301901,Flat head multi-point,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),500,0.017,70.59,1000 /PC,35.30,EUR
