Invoice Number,Invoice Date,Country of Origin,HS Code,Mat. NO.,Description,Default,Quantity,Weight per PC (kg),Unit Price (per batch),Price per PC,Total Price,Currency
59638762,06.02.2026,DE,840991,"=""06Q103925N""",Cover,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),48,0.743,949.99,100 /PC,456.00,EUR
59638762,06.02.2026,FR,851150,"=""06Q903028D""",Alternator,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),60,7.406,72.01,1 /PC,"4,320.60",EUR
59638762,06.02.2026,ES,870899,"=""0FN409905F""",transmission carrier,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),74,0.363,171.18,100 /PC,126.67,EUR
59638762,06.02.2026,DE,731822,1K0407357B,plate,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"1,400",0.010,59.44,1000 /PC,83.22,EUR
59638762,06.02.2026,DE,870850,3Q0501203B,drive shaft with constant,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,4.950,51.64,1 /PC,"1,859.04",EUR
59638762,06.02.2026,DE,870850,3Q0501204B,drive shaft with constant,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,5.220,52.00,1 /PC,"1,872.00",EUR
59638762,06.02.2026,PL,870830,3WB614105BA,BRAKE BOOSTER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,5.130,147.43,1 /PC,"5,307.48",EUR
59638762,06.02.2026,CZ,870899,3WB723058B,PEDAL CLUSTER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),32,2.120,20.26,1 /PC,648.32,EUR
59638762,06.02.2026,CZ,392690,571121331B,Sealing strip,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),150,0.055,219.88,100 /PC,329.82,EUR
59638762,06.02.2026,SK,830230,571837401L,WINDOW LIFT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,1.843,18.76,1 /PC,562.80,EUR
