Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,CTH,Basic notification,Sr no,CETH,Excise notification,Sr no,Mrp Sr no,Amount,SAD notification,Sr no,Exim Code,Scheme Notn,Scheme SrNo,Generic Description,BRAND,Model,END USE,EduCessNotnNo,EduCessNotnSrNo ,SHEduCessNotnNo,SHEduCessNotnSrNo,CEXEduCessNotnNo,CEXEduCessNotnSrNo ,Country of origin,RSP Notf,Sr. no.,Sapta Notif No,SAPTA Sr No,Manufacturer,Address,MRP Status,Abatement Rate,IGST Notn No,IGST SrNo,GST CCESS Notn No,GST CCESS SrNo,IGST Exemp Notn Type,IGST Exemp Notn No,IGST Exemp SrNo,GST CCESS Exemp NotnType,GST CCESS Exemp Notn No,GST CCESS Exemp SrNo,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SWS Notn No,SWS Notn SrNo,Duty Exemption Type,Regn No.,Regn Date,Regn Port,Item SNo. In Lic.,Product Material Code,Type Of Item,Source Country,Transit Country,SQC_Qty,Consigner Name,Consigner Address,Consigner City,Consigner Country,SIMS Category,SIMS Code,Custom Health Cess Notn No,Custom Health Cess Notn SrNo,COO_No ,COO_Date of Issue ,COO_Issuing Country ,COO_Origin Criteria ,COO_Origin Criteria remarks ,COO_Accumulation/Cumulation Status ,FOC Item,AIDC Levy Notification No ,AIDC Levy Notification Sr.No. ,AIDC Exemption Notification No. ,AIDC Exemption Notification Sr.No. ,AIDCNotn_Excise,ADICNotnSr_Excise,Previous BE No.,Previous BE Date,Previous BE IGM No.,Previous BE IGM Date,Previous BE Currency,Previous BE Unit Price,Previous BE Custom House,Aggregate Duty Notification No.,Aggregate Duty Notification Sr.No.,COO_Tariff Shift,COO_Retroactive Issuance Status,COO_Direct Consignment Status,GST_Comp_Cess_SalePrice_INR,CVD_Notn,CVD_SLNo,CVD_Rate,CVD_Calc,CVD_ItemSLNo,CVD_SuppSLNo,COO_ItemSrNoCert
59638681,30-01-2026,FOB,57H807301CF9R REAR BUMPER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCS,EUR,136.89,87081090,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H807301CF9R,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,6,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H807301CS9R REAR BUMPER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCS,EUR,133.76,87081090,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H807301CS9R,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,6,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H867427FZTB TRUNK LINING (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,29.76,87089900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H867427FZTB,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,10.197,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H867428EZTB TRUNK LINING (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,30.81,87089900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H867428EZTB,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,9.525,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H867975B4PK TRIM PANEL FOR HATCH GATE (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,9.95,87082900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H867975B4PK,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,7.5,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H881031JCIH FRONT SEAT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,255.89,94019900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H881031JCIH,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II610,001/2017,56,,,,,,,,,,,,,,,,,,,,,3,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H881032JCIH FRONT SEAT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,252.46,94019900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H881032JCIH,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II610,001/2017,56,,,,,,,,,,,,,,,,,,,,,3,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H881041JCIH FRONT SEAT BACKRES (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,227.58,94019900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H881041JCIH,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II610,001/2017,56,,,,,,,,,,,,,,,,,,,,,3,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H881042JCIH FRONT SEAT BACKRES (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,256.08,94019900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H881042JCIH,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II610,001/2017,56,,,,,,,,,,,,,,,,,,,,,3,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H885031CII REAR SEAT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,86.29,94019900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H885031CII,GNX200,,,,,,,UA,,,,,,,N,,009/2025,II610,001/2017,56,,,,,,,,,,,,,,,,,,,,,12,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H885032CII REAR SEAT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,78.51,94019900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H885032CII,GNX200,,,,,,,UA,,,,,,,N,,009/2025,II610,001/2017,56,,,,,,,,,,,,,,,,,,,,,12,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H885041CII REAR SEAT BACKREST (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,330.44,94019900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H885041CII,GNX200,,,,,,,PL,,,,,,,N,,009/2025,II610,001/2017,56,,,,,,,,,,,,,,,,,,,,,57,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H885042CII REAR SEAT BACKREST (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,252.37,94019900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H885042CII,GNX200,,,,,,,PL,,,,,,,N,,009/2025,II610,001/2017,56,,,,,,,,,,,,,,,,,,,,,57,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H888014XOF REAR SEAT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,305.62,94012000,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H888014XOF,GNX200,,,,,,,PL,,,,,,,N,,009/2025,II610,001/2017,56,,,,,,,,,,,,,,,,,,,,,3,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H941035A LED HEADLIGHT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,164.65,85122010,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H941035A,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II485,001/2017,56,,,,,,,,,,,,,,,,,,,,,3,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H941036A LED HEADLIGHT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,164.65,85122010,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H941036A,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II485,001/2017,56,,,,,,,,,,,,,,,,,,,,,3,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
