Invoice Number,Invoice Date,Country of Origin,HS Code,Mat. NO.,Description,Default,Quantity,Weight per PC (kg),Unit Price (per batch),Price per PC,Total Price,Currency
59638705,02.02.2026,HU,851140,"=""02E911022H""",starter,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),80,3.346,35.80,1 /PC,"2,864.00",EUR
59638705,02.02.2026,RO,401032,"=""06Q903137A""",v-ribbed belt,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),110,0.120,193.03,100 /PC,212.33,EUR
59638705,02.02.2026,SK,732690,191611715,bracket for hose,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"2,000",0.003,19.71,1000 /PC,39.42,EUR
59638705,02.02.2026,BE,870829,1K0807621A,TRANSPORT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),650,0.005,156.39,1000 /PC,101.65,EUR
59638705,02.02.2026,IT,850110,1T3827887B,Motor for tailgate,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),24,0.262,639.41,100 /PC,153.46,EUR
59638705,02.02.2026,CN,851821,3G8035415A,Mid-range speaker,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),66,0.119,277.72,100 /PC,183.30,EUR
59638705,02.02.2026,CZ,870829,3J08585604PK,Cover for steering column,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),20,0.074,706.07,1000 /PC,14.12,EUR
59638705,02.02.2026,DE,830230,3J1906131,Bracket for elec.contr. module,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),42,0.070,521.12,1000 /PC,21.89,EUR
59638705,02.02.2026,CZ,830120,3J2837015,Door latch,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,0.442,556.48,100 /PC,200.33,EUR
59638705,02.02.2026,CZ,830120,3J2837016,Door latch,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,0.445,561.67,100 /PC,202.20,EUR
59638705,02.02.2026,CZ,870829,3P08585594PK,Trim for steering column,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),16,0.330,448.93,100 /PC,71.83,EUR
59638705,02.02.2026,DE,870880,3Q0407151P,"track control arm, complete",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),88,3.115,"1,334.93",100 /PC,"1,174.74",EUR
59638705,02.02.2026,CZ,870880,3Q0411303S,"stabilizer, complete",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),56,5.888,22.30,1 /PC,"1,248.80",EUR
59638705,02.02.2026,CZ,392690,3V08612219B9,Holder for tablet PC for,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),144,0.068,162.29,100 /PC,233.70,EUR
59638705,02.02.2026,CZ,392690,3V0861221A9B9,Holder for tablet PC for,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),62,0.076,471.06,100 /PC,292.06,EUR
59638705,02.02.2026,CZ,870880,3WA511305F,Stabilizer,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),56,2.321,17.95,1 /PC,"1,005.20",EUR
59638705,02.02.2026,DE,903289,3WA614517AS,BRAKE UNIT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),48,1.915,81.48,1 /PC,"3,911.04",EUR
59638705,02.02.2026,MX,853710,3WA907007F,Control unit for air condit.,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),28,0.186,18.32,1 /PC,512.96,EUR
59638705,02.02.2026,LT,852610,3WA907541F,Radar sensor,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,0.078,26.59,1 /PC,957.24,EUR
59638705,02.02.2026,IE,853710,3WA959592A,Control unit for door,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),86,0.095,907.54,100 /PC,780.48,EUR
59638705,02.02.2026,IE,853710,3WA959593A,Control unit for door,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),86,0.096,946.71,100 /PC,814.17,EUR
59638705,02.02.2026,PL,870830,3WB614105BA,BRAKE BOOSTER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),18,5.130,147.43,1 /PC,"2,653.74",EUR
59638705,02.02.2026,DE,830160,4M0837033B,Locking catch,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),130,0.105,"1,412.57",1000 /PC,183.63,EUR
59638705,02.02.2026,DE,830230,510857817,belt guide,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),225,0.035,207.92,1000 /PC,46.78,EUR
59638705,02.02.2026,CZ,392690,5658858794PK,Cap,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),50,0.073,553.06,1000 /PC,27.65,EUR
59638705,02.02.2026,IT,853650,565959565AWHI,switch for rear view mirror,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),84,0.020,242.40,100 /PC,203.62,EUR
59638705,02.02.2026,SK,830230,571837401L,WINDOW LIFT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,1.843,18.76,1 /PC,562.80,EUR
59638705,02.02.2026,SK,830230,571837402L,WINDOW LIFT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,1.831,18.76,1 /PC,562.80,EUR
59638705,02.02.2026,CZ,870829,571857551ASX4,Sun vizor with illuminated,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),22,0.417,679.88,100 /PC,149.57,EUR
59638705,02.02.2026,CZ,870829,571857552ASX4,Sun vizor with illuminated,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),22,0.422,635.04,100 /PC,139.71,EUR
59638705,02.02.2026,PL,870829,5718672914PK,"Lining, pillar b",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),40,0.476,176.29,100 /PC,70.52,EUR
59638705,02.02.2026,PL,870829,5718672924PK,"Lining, pillar b",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),40,0.456,176.29,100 /PC,70.52,EUR
59638705,02.02.2026,DE,392690,5718814794PK,Cap,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),32,0.082,609.32,1000 /PC,19.50,EUR
59638705,02.02.2026,DE,392690,5718814804PK,Cap,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),32,0.082,609.32,1000 /PC,19.50,EUR
59638705,02.02.2026,TR,870870,574601025,Alloy wheel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),50,10.200,36.90,1 /PC,"1,845.00",EUR
59638705,02.02.2026,KR,853710,57H035876C,Operating unit for,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),15,1.060,289.03,1 /PC,"4,335.45",EUR
59638705,02.02.2026,SK,870899,57H121283,Air duct,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,0.141,733.27,1000 /PC,26.40,EUR
59638705,02.02.2026,SK,870899,57H121330,Air duct,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),84,0.247,129.10,100 /PC,108.44,EUR
59638705,02.02.2026,SK,870829,57H807093A,Cross member for front panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),160,1.139,496.48,100 /PC,794.37,EUR
59638705,02.02.2026,SK,870829,57H807183,Guide piece,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),48,0.113,134.89,100 /PC,64.75,EUR
59638705,02.02.2026,SK,870829,57H807184,Guide piece,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),48,0.114,134.89,100 /PC,64.75,EUR
59638705,02.02.2026,PL,870810,57H807394,Guide piece,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,0.279,397.31,100 /PC,119.19,EUR
59638705,02.02.2026,PL,870829,57H807863,Attachment strip,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),50,0.781,532.19,100 /PC,266.10,EUR
59638705,02.02.2026,TR,870829,57H809702,Fuel filler door,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,0.348,421.19,100 /PC,151.63,EUR
59638705,02.02.2026,CZ,392630,57H809933,Cup,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),80,0.120,865.94,1000 /PC,69.28,EUR
59638705,02.02.2026,SK,870829,57H819335,Cover for plenum chamber,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,0.104,421.22,1000 /PC,12.64,EUR
59638705,02.02.2026,SK,870829,57H819336,Cover for plenum chamber,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),60,0.102,429.76,1000 /PC,25.79,EUR
59638705,02.02.2026,CN,870829,57H820951CDWI,Air vent,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),36,0.396,"1,027.59",100 /PC,369.93,EUR
