Invoice Number,Invoice Date,Country of Origin,HS Code,Mat. NO.,Description,Default,Quantity,Weight per PC (kg),Unit Price (per batch),Price per PC,Total Price,Currency
59638728,05.02.2026,DE,870850,"=""0CQ525010AN""",Final drive,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,29.800,423.55,1 /PC,"1,270.65",EUR
59638728,05.02.2026,DE,870850,3WA505235AF,Sub frame,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,20.980,125.62,1 /PC,376.86,EUR
59638728,05.02.2026,CZ,870810,571807109C,Bumper,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,11.800,43.41,1 /PC,130.23,EUR
59638728,05.02.2026,PL,870892,57H253181AG,Intermediate pipe with,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,15.800,87.80,1 /PC,263.40,EUR
59638728,05.02.2026,CZ,870870,57H601011G,Spare Wheel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,18.000,54.94,1 /PC,164.82,EUR
59638728,05.02.2026,DE,870829,57H805588J,Front panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,3.400,16.72,1 /PC,50.16,EUR
59638728,05.02.2026,CZ,870810,57H807101HS9R,"BUMPER,FRONT",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,13.000,261.15,1 /PC,261.15,EUR
59638728,05.02.2026,CZ,870810,57H807101MF7C,"BUMPER,FRONT",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,11.820,467.45,1 /PC,467.45,EUR
59638728,05.02.2026,CZ,870810,57H807101RS9R,"BUMPER,FRONT",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,13.000,452.41,1 /PC,452.41,EUR
59638728,05.02.2026,CZ,870810,57H807301CF7C,REAR BUMPER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,6.000,143.78,1 /PC,143.78,EUR
59638728,05.02.2026,CZ,870810,57H807301CS9R,REAR BUMPER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,6.000,133.76,1 /PC,133.76,EUR
59638728,05.02.2026,CZ,870810,57H807301ES9R,REAR BUMPER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,7.000,133.68,1 /PC,133.68,EUR
59638728,05.02.2026,CZ,870829,57H867427FZTB,Trunk lining,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,3.399,29.76,1 /PC,59.52,EUR
59638728,05.02.2026,CZ,870829,57H867427GZTB,Trunk lining,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,3.473,26.73,1 /PC,26.73,EUR
59638728,05.02.2026,CZ,870829,57H867428EZTB,Trunk lining,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,3.175,30.81,1 /PC,61.62,EUR
59638728,05.02.2026,CZ,870829,57H867428MZTB,Trunk lining,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,3.200,29.18,1 /PC,29.18,EUR
59638728,05.02.2026,CZ,870829,57H867975B4PK,Trim panel for hatch gate,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,2.500,995.31,100 /PC,29.85,EUR
59638728,05.02.2026,CZ,940120,57H881031JCIH,FRONT SEAT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,15.000,255.89,1 /PC,255.89,EUR
59638728,05.02.2026,CZ,940120,57H881031LGTI,FRONT SEAT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,13.630,176.56,1 /PC,176.56,EUR
