Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,CTH,Basic notification,Sr no,CETH,Excise notification,Sr no,Mrp Sr no,Amount,SAD notification,Sr no,Exim Code,Scheme Notn,Scheme SrNo,Generic Description,BRAND,Model,END USE,EduCessNotnNo,EduCessNotnSrNo ,SHEduCessNotnNo,SHEduCessNotnSrNo,CEXEduCessNotnNo,CEXEduCessNotnSrNo ,Country of origin,RSP Notf,Sr. no.,Sapta Notif No,SAPTA Sr No,Manufacturer,Address,MRP Status,Abatement Rate,IGST Notn No,IGST SrNo,GST CCESS Notn No,GST CCESS SrNo,IGST Exemp Notn Type,IGST Exemp Notn No,IGST Exemp SrNo,GST CCESS Exemp NotnType,GST CCESS Exemp Notn No,GST CCESS Exemp SrNo,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SWS Notn No,SWS Notn SrNo,Duty Exemption Type,Regn No.,Regn Date,Regn Port,Item SNo. In Lic.,Product Material Code,Type Of Item,Source Country,Transit Country,SQC_Qty,Consigner Name,Consigner Address,Consigner City,Consigner Country,SIMS Category,SIMS Code,Custom Health Cess Notn No,Custom Health Cess Notn SrNo,COO_No ,COO_Date of Issue ,COO_Issuing Country ,COO_Origin Criteria ,COO_Origin Criteria remarks ,COO_Accumulation/Cumulation Status ,FOC Item,AIDC Levy Notification No ,AIDC Levy Notification Sr.No. ,AIDC Exemption Notification No. ,AIDC Exemption Notification Sr.No. ,AIDCNotn_Excise,ADICNotnSr_Excise,Previous BE No.,Previous BE Date,Previous BE IGM No.,Previous BE IGM Date,Previous BE Currency,Previous BE Unit Price,Previous BE Custom House,Aggregate Duty Notification No.,Aggregate Duty Notification Sr.No.,COO_Tariff Shift,COO_Retroactive Issuance Status,COO_Direct Consignment Status,GST_Comp_Cess_SalePrice_INR,CVD_Notn,CVD_SLNo,CVD_Rate,CVD_Calc,CVD_ItemSLNo,CVD_SuppSLNo,COO_ItemSrNoCert
59638718,04.02.2026,FOB,05E103011S CYLINDER BLOCK A. (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),189,PCS,EUR,220.54,84099990,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,05E103011S,GNX200,,,,,,,HU,,,,,,,N,,009/2025,II396,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,3648.645,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,05E103353F CYLINDER HEAD (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,PCS,EUR,162.5,84099990,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,05E103353F,GNX200,,,,,,,HU,,,,,,,N,,009/2025,II396,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,335.37,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,05E105101A CRANKSHAFT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),192,PCS,EUR,84.02,87089900,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,05E105101A,GNX200,,,,,,,HU,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,192,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,05E107065BH PISTON COMPLETE (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),160,PCS,EUR,10.908125,84099990,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,05E107065BH,GNX200,,,,,,,PL,,,,,,,N,,009/2025,II396,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,56.48,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,05E145673E PRESSURE PIPE (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),378,PCS,EUR,4.825502646,40094200,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,05E145673E,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II135,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,272.916,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,1K0937545M BRACKET FOR CONNECTOR HOUSING (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"5,000",PCS,EUR,0.0432,87089900,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,1K0937545M,GNX200,,,,,,,PT,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,10,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,1K0971615DD WIRING CONDUIT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),600,PCS,EUR,0.144166667,87089900,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,1K0971615DD,GNX200,,,,,,,HU,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,12,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,1M6867574A HOLDER FOR HOLDING STRAP (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"4,000",PCS,EUR,0.02213,87089900,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,1M6867574A,GNX200,,,,,,,ES,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,4,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,2G6827505B9B9 HOOD LATCH (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"1,032",PCS,EUR,4.285998062,83012000,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,2G6827505B9B9,GNX200,,,,,,,IT,,,,,,,N,,009/2025,II376,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,1032,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,2Q0611032 PLATE (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"1,826",PCS,EUR,0.097272727,87089900,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,2Q0611032,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,9.13,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,2Q0615405AC SLIDING-CALIPER BR (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),288,PCS,EUR,27.97,87083000,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,2Q0615405AC,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,798.336,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
