Invoice Number,Invoice Date,Part No.,Description,Country Code,HS Code,Default,Quantity,Unit,Net Weight,Price/100,Total Price,Currency,Source
51190699,16-02-2026,57L807305D,BUMPER BAR,PL,870810,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,22.314,"1,766.59",53.00,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5H2800345RA4X,DOOR HANDLE,CZ,392630,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,SET,0.463,"2,596.85",25.97,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QF601027S03C,RIM,PL,870870,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,31.650,"2,253.36",67.60,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QF601324,TIRE,CN,401110,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,22.800,"2,067.22",62.02,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L807109B,"BUMPER BAR,FRONT",CZ,870810,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,53.982,"7,033.29",211.00,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QS201021AS,FUEL TANK,HU,870899,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,11.761,"15,702.34",157.02,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L867601A4PK,"LINING,TRUNK LID",PL,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,2.758,"1,243.51",12.44,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57M857003C6PS,DASHBOARD,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,14.166,"14,783.35",295.67,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57M857003C6PS,DASHBOARD,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,7.083,"14,783.35",147.83,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L867017,SIDE PANEL TRIM,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,0.943,"5,149.00",51.49,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L867018,SIDE PANEL TRIM,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,0.948,"4,995.00",49.95,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L857537,MIRROR CAP LEFT,DE,392690,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,1.100,319.00,3.19,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L857538,MIRROR CAP RIGHT,DE,392690,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,1.121,320.00,3.20,EUR,VOLKSWAGEN AG
