Invoice Number,Invoice Date,Part No.,Description,Country Code,HS Code,Default,Quantity,Unit,Net Weight,Price/100,Total Price,Currency,Source
51190638,16-02-2026,"=""0CQ525010AP""",REAR DIFFERENTIAL,DE,870850,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,29.504,"38,767.80",387.68,EUR,VOLKSWAGEN AG
51190638,16-02-2026,11A827506A,LOCK,IT,830120,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,1.050,619.37,18.58,EUR,VOLKSWAGEN AG
51190638,16-02-2026,572857017A,MODULE BRACKET,CZ,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,18.300,"3,216.51",96.50,EUR,VOLKSWAGEN AG
51190638,16-02-2026,572863934B,DAMPING,CZ,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,21.000,"2,869.71",86.09,EUR,VOLKSWAGEN AG
51190638,16-02-2026,57L805588H,PLASTIC FRONT-END CARRIER,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,9.861,"1,489.14",44.67,EUR,VOLKSWAGEN AG
51190638,16-02-2026,57L863919,FLOOR SOUND INSULATION,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,12.750,"1,351.31",40.54,EUR,VOLKSWAGEN AG
51190638,16-02-2026,57L941012A,HEADLAMP,CZ,851220,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,SET,47.280,"57,335.93","1,720.08",EUR,VOLKSWAGEN AG
51190638,16-02-2026,57M863367A62U,FLOOR COVERING,PL,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,12.327,"1,733.01",51.99,EUR,VOLKSWAGEN AG
51190638,16-02-2026,5QS521101D,PROPELLER SHAFT,DE,870850,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,10.480,"10,614.76",106.15,EUR,VOLKSWAGEN AG
51190638,16-02-2026,5QT423051E,STEERING SYSTEM,DE,870894,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,11.512,"26,328.18",263.28,EUR,VOLKSWAGEN AG
51190638,16-02-2026,5WA199315F,SUBFRAME,PL,870899,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,11.200,"3,719.14",37.19,EUR,VOLKSWAGEN AG
51190638,16-02-2026,8V0827507K,STRIKER,PL,830160,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,0.380,233.51,4.67,EUR,VOLKSWAGEN AG
51190638,16-02-2026,57L807305D,BUMPER BAR,PL,870810,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,7.438,"1,766.59",17.67,EUR,VOLKSWAGEN AG
