Invoice Number	Invoice Date	Part No.		Description	Country Code	HS Code	Default	Quantity	Unit	Net Weight	Price/100	Total Price	Currency	Source
51190418	16-02-2026	57M857003C6PS	87082900	DASHBOARD	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	21.249	"14,783.35"	443.5	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L885003	94012000	REAR SEAT W. BACK 3rd ROW	PL	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	32.603	"38,203.00"	382.03	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857089	70091010	REAR MIRROR LEFT	SK	700910	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.1	"10,802.00"	108.02	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857090	70091010	REAR MIRROR RIGHT	SK	700910	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.121	"13,445.00"	134.45	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L971002	#N/A	"HARNESS,ENGINE COMPARTMENT"	MA	854430	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	3.503	"23,241.00"	232.41	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L971001	#N/A	"HARNESS, DASHBOARD"	MA	854430	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	2.003	"47,223.00"	472.23	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857537	#N/A	MIRROR CAP LEFT	DE	392690	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.1	319	3.19	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857538	#N/A	MIRROR CAP RIGHT	DE	392690	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.121	320	3.2	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L881003	94012000	FRONT SEAT W. BACKREST	DE	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	25.003	"53,570.00"	535.7	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L881004	94012000	FRONT SEAT W. BACKREST	DE	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	25.003	"56,623.00"	566.23	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L885001	94012000	REAR SEAT WITH BACKREST	DE	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	50.003	"46,886.00"	468.86	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L885002	94012000	REAR SEAT WITH BACKREST	DE	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	20.003	"30,502.00"	305.02	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L971002	#N/A	"HARNESS,ENGINE COMPARTMENT"	MA	854430	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	3.503	"23,241.00"	232.41	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L971001	#N/A	"HARNESS, DASHBOARD"	MA	854430	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	2.003	"47,223.00"	472.23	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857089	70091010	REAR MIRROR LEFT	SK	700910	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.1	"10,802.00"	108.02	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857090	70091010	REAR MIRROR RIGHT	SK	700910	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.121	"13,445.00"	134.45	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L885003	94012000	REAR SEAT W. BACK 3rd ROW	PL	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	32.603	"38,203.00"	382.03	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L253026	#N/A	FRONT MUFFLER/ REAR MUFFLER	PL	870892	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	15.003	"8,467.00"	84.67	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L867017	#N/A	SIDE PANEL TRIM	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	0.943	"5,149.00"	51.49	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L867018	#N/A	SIDE PANEL TRIM	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	0.948	"4,995.00"	49.95	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L881003	94012000	FRONT SEAT W. BACKREST	DE	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	25.003	"53,570.00"	535.7	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L881004	94012000	FRONT SEAT W. BACKREST	DE	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	25.003	"56,623.00"	566.23	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L885001	94012000	REAR SEAT WITH BACKREST	DE	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	50.003	"46,886.00"	468.86	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L885002	94012000	REAR SEAT WITH BACKREST	DE	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	20.003	"30,502.00"	305.02	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L863004	87082900	CENTER CONSOLE	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	13.833	"22,062.00"	220.62	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L971002	#N/A	"HARNESS,ENGINE COMPARTMENT"	MA	854430	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	3.503	"23,241.00"	232.41	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L971001	#N/A	"HARNESS, DASHBOARD"	MA	854430	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	2.003	"47,223.00"	472.23	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L253001	#N/A	"EXHAUST SYSTEM, FRONT"	CZ	842139	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	15.496	"65,374.00"	653.74	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L807052	87081090	REAR BUMPER	DE	870810	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	9.003	"15,632.00"	156.32	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L807063	87081090	"BUMPER,FRONT"	DE	870810	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	9.003	"37,676.00"	376.76	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L807052	87081090	REAR BUMPER	DE	870810	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	9.003	"15,632.00"	156.32	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L807063	87081090	"BUMPER,FRONT"	DE	870810	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	9.003	"37,676.00"	376.76	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L807052	87081090	REAR BUMPER	DE	870810	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	9.003	"15,632.00"	156.32	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L807063	87081090	"BUMPER,FRONT"	DE	870810	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	9.003	"37,676.00"	376.76	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L253001	#N/A	"EXHAUST SYSTEM, FRONT"	CZ	842139	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	15.496	"65,374.00"	653.74	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L253026	#N/A	FRONT MUFFLER/ REAR MUFFLER	PL	870892	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	15.003	"8,467.00"	84.67	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L863004	87082900	CENTER CONSOLE	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	13.833	"22,062.00"	220.62	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857537	#N/A	MIRROR CAP LEFT	DE	392690	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.1	319	3.19	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857538	#N/A	MIRROR CAP RIGHT	DE	392690	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.121	320	3.2	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L885003	94012000	REAR SEAT W. BACK 3rd ROW	PL	940120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	32.603	"38,203.00"	382.03	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857089	70091010	REAR MIRROR LEFT	SK	700910	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.1	"10,802.00"	108.02	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857090	70091010	REAR MIRROR RIGHT	SK	700910	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.121	"13,445.00"	134.45	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L253001	#N/A	"EXHAUST SYSTEM, FRONT"	CZ	842139	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	15.496	"65,374.00"	653.74	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L253026	#N/A	FRONT MUFFLER/ REAR MUFFLER	PL	870892	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	15.003	"8,467.00"	84.67	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L867017	#N/A	SIDE PANEL TRIM	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	0.943	"5,149.00"	51.49	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L867018	#N/A	SIDE PANEL TRIM	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	0.948	"4,995.00"	49.95	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857537	#N/A	MIRROR CAP LEFT	DE	392690	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.1	319	3.19	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L857538	#N/A	MIRROR CAP RIGHT	DE	392690	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	1.121	320	3.2	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L867017	#N/A	SIDE PANEL TRIM	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	0.943	"5,149.00"	51.49	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L867018	#N/A	SIDE PANEL TRIM	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	PCE	0.948	"4,995.00"	49.95	EUR	VOLKSWAGEN AG
